Date,Price,Open,High,Low
12/30/2022,1826.2,1821.8,1832.4,1819.8
12/29/2022,1826.0,1812.3,1827.3,1811.2
12/28/2022,1815.8,1822.4,1822.8,1804.2
12/27/2022,1823.1,1808.2,1841.9,1808.0
12/26/2022,1809.7,1805.8,1811.95,1805.55
12/23/2022,1804.2,1801.0,1812.2,1798.9
12/22/2022,1795.3,1823.8,1829.3,1792.7
12/21/2022,1825.4,1827.9,1833.8,1821.3
12/20/2022,1825.4,1796.8,1832.4,1793.7
12/19/2022,1797.7,1801.6,1808.6,1793.2
12/16/2022,1800.2,1786.9,1804.2,1783.9
12/15/2022,1787.8,1818.7,1819.7,1782.0
12/14/2022,1818.7,1822.6,1825.4,1806.2
12/13/2022,1825.5,1792.3,1836.9,1791.8
12/12/2022,1792.3,1808.0,1809.3,1789.0
12/09/2022,1810.7,1801.9,1819.0,1800.1
12/08/2022,1801.5,1799.5,1806.9,1793.2
12/07/2022,1798.0,1783.3,1803.2,1780.5
12/06/2022,1782.4,1780.8,1793.2,1779.1
12/05/2022,1781.3,1810.5,1822.9,1778.1
12/02/2022,1809.6,1817.0,1818.7,1791.8
12/01/2022,1815.2,1783.1,1818.4,1782.9
11/30/2022,1759.9,1763.4,1784.2,1758.2
11/29/2022,1763.7,1754.6,1773.4,1752.9
11/28/2022,1755.3,1771.1,1778.5,1753.3
11/25/2022,1754.0,1751.0,1761.2,1745.9
11/24/2022,1755.35,1753.05,1758.95,1752.55
11/23/2022,1745.6,1740.8,1754.9,1719.0
11/22/2022,1739.9,1739.7,1751.0,1737.6
11/21/2022,1739.6,1752.0,1755.0,1733.9
11/18/2022,1754.4,1763.1,1769.9,1749.2
11/17/2022,1763.0,1777.0,1777.6,1756.6
11/16/2022,1775.8,1782.0,1788.2,1773.4
11/15/2022,1776.8,1774.0,1791.8,1770.2
11/14/2022,1776.9,1769.4,1778.4,1755.8
11/11/2022,1769.4,1758.3,1775.6,1750.3
11/10/2022,1753.7,1709.7,1760.6,1705.5
11/09/2022,1713.7,1715.2,1725.8,1705.1
11/08/2022,1716.0,1678.0,1720.4,1667.1
11/07/2022,1680.5,1678.6,1685.6,1670.0
11/04/2022,1676.6,1631.7,1686.4,1631.1
